timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629175404,0.41552734,-1.2869263,-0.2156372,4.875,0.078125,18.359375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175434,0.44995117,-1.3557739,-0.21051025,12.09375,12.671875,4.4375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175477,0.34594727,-1.1887817,-0.50909424,19.328125,7.921875,-16.5625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175555,0.8781738,-1.3130493,-0.5498657,12.03125,-8.40625,9.421875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175559,-0.04638672,-0.8352661,-0.36309814,-1.46875,-10.21875,9.046875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175626,0.095703125,-0.6387329,-0.28692627,4.46875,18.9375,-21.4375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175632,0.46362305,-0.8543091,-0.37628174,-3.5625,22.375,-10.546875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175672,0.11669922,-0.86846924,-0.3267212,-2.09375,5.203125,3.078125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175719,0.21801758,-0.5911255,-0.32696533,-0.015625,11.671875,-4.6875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175747,0.20751953,-0.5733032,-0.22906494,3.5,8.953125,-2.609375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175791,0.13916016,-0.60772705,-0.23443604,4.828125,11.109375,3.578125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175850,0.20019531,-0.64630127,-0.21099854,4.875,5.375,2.9375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175866,0.17602539,-0.7605591,-0.26446533,4.65625,3.234375,1.875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175926,0.1105957,-1.1589966,-0.28424072,-3.875,5.953125,5.515625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175958,0.21899414,-1.538147,-0.41168213,-7.734375,13.671875,-2.390625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175985,0.4645996,-1.3494263,-0.56622314,-4.765625,-7.390625,0.078125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176030,0.2783203,-1.1160278,-0.7576294,7.15625,7.015625,-5.046875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176062,0.9953613,-1.0288696,-0.40533447,-10.640625,-23.25,6.140625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176106,0.54956055,-0.86920166,-0.19073486,-4.390625,-43.71875,2.25,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176151,-0.18798828,-0.87750244,-0.25909424,0.109375,-33.390625,-3.765625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176181,0.18457031,-0.74786377,-0.17681885,9.0625,-7.9375,-5.875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176226,0.4453125,-0.63116455,-0.1260376,1.609375,-10.765625,3.40625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176272,0.064453125,-0.4578247,-0.18487549,-2.34375,-17.671875,3.765625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176303,0.07543945,-0.34014893,-0.12213135,9.015625,-6.796875,6.71875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176364,0.31762695,-0.55255127,-0.17633057,1.28125,-2.0,12.265625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176374,0.47021484,-0.7468872,-0.1506958,4.140625,-15.109375,10.90625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176438,0.23876953,-1.0994263,-0.24737549,-6.328125,-23.34375,14.328125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176466,0.27734375,-1.7774048,-0.024963379,4.15625,0.71875,7.21875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176502,0.4050293,-1.5567017,-0.15899658,16.0625,-1.421875,-17.15625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176557,0.5437012,-1.03302,-0.42315674,0.078125,3.765625,-23.78125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176586,0.9458008,-1.1682739,-0.43292236,16.25,-8.5625,-3.9375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176615,0.30981445,-0.7263794,-0.552063,-5.53125,-29.890625,-9.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176664,0.16699219,-0.57403564,-0.37042236,0.3125,-10.21875,-20.703125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176691,0.24609375,-0.9807739,-0.19122314,-5.640625,-5.578125,-23.109375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176737,0.16674805,-0.82647705,-0.11529541,-5.78125,-12.09375,-19.15625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176783,0.06958008,-0.5508423,-0.21710205,-11.953125,-4.078125,-14.484375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176811,0.27978516,-0.64385986,-0.18365479,-8.390625,-4.5,-18.296875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176887,0.14331055,-0.6897583,-0.13800049,-0.859375,-12.1875,-12.71875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176900,0.095947266,-0.61602783,-0.09576416,-0.640625,-10.5625,-10.421875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176932,-0.005859375,-0.6487427,-0.10455322,-1.234375,-14.34375,-7.40625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629176990,-0.1899414,-0.84698486,-0.12042236,5.96875,-4.390625,-8.21875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629177068,0.010009766,-1.024231,-0.17730713,3.765625,-7.5625,-7.296875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629177075,-0.06591797,-1.1494751,-0.270813,-0.921875,-11.015625,-12.359375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629177096,-0.016601562,-1.3369751,-0.40509033,-2.6875,2.625,-15.328125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629177126,0.45751953,-1.586731,0.0040893555,-14.078125,29.515625,-4.59375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
