timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629275623,-1.234375,0.35742188,0.4560547,33.65625,73.78125,-17.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275684,-1.2490234,0.47460938,0.78808594,-76.09375,25.46875,-1.0,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275743,-1.4345703,0.20605469,-0.37402344,-17.78125,-15.625,-1.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275745,-1.9863281,-0.7792969,0.8105469,-110.875,43.15625,-52.5,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275805,-0.8261719,0.5019531,-0.4951172,120.28125,-159.0,-51.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275843,-1.2158203,0.16894531,-0.25,94.875,48.34375,4.6875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275862,-1.2265625,0.009765625,0.3857422,-75.03125,56.75,11.21875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275922,-0.88378906,-0.03125,0.0,49.53125,16.34375,40.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275953,-0.9423828,-0.31835938,0.09863281,18.46875,46.09375,32.9375,-112.625,15.3125,-174.8125,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275982,-0.8310547,0.01953125,0.19433594,2.84375,38.8125,14.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276043,-0.5644531,0.041992188,0.103515625,22.6875,-5.25,5.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
